image_id,image_path,label,generator,hand_anatomy,facial_consistency,text_readability,repeated_texture_patterns,object_boundary_consistency,background_coherence,annotator,notes
real_001,data/concepts/batches/batch_001/real/real_001.png,real,real_RAISE_1k,,,,,,,,
real_002,data/concepts/batches/batch_001/real/real_002.png,real,real_RAISE_1k,,,,,,,,
real_003,data/concepts/batches/batch_001/real/real_003.png,real,real_RAISE_1k,,,,,,,,
real_004,data/concepts/batches/batch_001/real/real_004.png,real,real_RAISE_1k,,,,,,,,
real_005,data/concepts/batches/batch_001/real/real_005.png,real,real_RAISE_1k,,,,,,,,
real_006,data/concepts/batches/batch_001/real/real_006.png,real,real_RAISE_1k,,,,,,,,
real_007,data/concepts/batches/batch_001/real/real_007.png,real,real_RAISE_1k,,,,,,,,
real_008,data/concepts/batches/batch_001/real/real_008.png,real,real_RAISE_1k,,,,,,,,
real_009,data/concepts/batches/batch_001/real/real_009.png,real,real_RAISE_1k,,,,,,,,
real_010,data/concepts/batches/batch_001/real/real_010.png,real,real_RAISE_1k,,,,,,,,
real_011,data/concepts/batches/batch_001/real/real_011.png,real,real_RAISE_1k,,,,,,,,
real_012,data/concepts/batches/batch_001/real/real_012.png,real,real_RAISE_1k,,,,,,,,
real_013,data/concepts/batches/batch_001/real/real_013.png,real,real_RAISE_1k,,,,,,,,
real_014,data/concepts/batches/batch_001/real/real_014.png,real,real_RAISE_1k,,,,,,,,
real_015,data/concepts/batches/batch_001/real/real_015.png,real,real_RAISE_1k,,,,,,,,
real_016,data/concepts/batches/batch_001/real/real_016.png,real,real_RAISE_1k,,,,,,,,
real_017,data/concepts/batches/batch_001/real/real_017.png,real,real_RAISE_1k,,,,,,,,
real_018,data/concepts/batches/batch_001/real/real_018.png,real,real_RAISE_1k,,,,,,,,
real_019,data/concepts/batches/batch_001/real/real_019.png,real,real_RAISE_1k,,,,,,,,
real_020,data/concepts/batches/batch_001/real/real_020.png,real,real_RAISE_1k,,,,,,,,
real_021,data/concepts/batches/batch_001/real/real_021.png,real,real_RAISE_1k,,,,,,,,
real_022,data/concepts/batches/batch_001/real/real_022.png,real,real_RAISE_1k,,,,,,,,
real_023,data/concepts/batches/batch_001/real/real_023.png,real,real_RAISE_1k,,,,,,,,
real_024,data/concepts/batches/batch_001/real/real_024.png,real,real_RAISE_1k,,,,,,,,
real_025,data/concepts/batches/batch_001/real/real_025.png,real,real_RAISE_1k,,,,,,,,
